id;name_en;description_en;parent
TOTAL;Total;;
Y_LT15;under 15 years;;TOTAL
Y_LT5;under 5 years;;Y_LT15
Y_LT1;under 1 year;;Y_LT5
Y1;1 year;;Y_LT5
Y2;2 years;;Y_LT5
Y3;3 years;;Y_LT5
Y4;4 years;;Y_LT5
Y5-9;5 to 9 years;;Y_LT15
Y5;5 years;;Y5-9
Y6;6 years;;Y5-9
Y7;7 years;;Y5-9
Y8;8 years;;Y5-9
Y9;9 years;;Y5-9
Y10-14;10 to 14 years;;Y_LT15
Y10;10 years;;Y10-14
Y11;11 years;;Y10-14
Y12;12 years;;Y10-14

Y13;13 years;;Y10-14
Y14;14 years;;Y10-14
Y15-29;15 to 29 years;;TOTAL
Y15-19;15 to 19 years;;Y15-29
Y15;15 years;;Y15-19
Y16;16 years;;Y15-19
Y17;17 years;;Y15-19
Y18;18 years;;Y15-19
Y19;19 years;;Y15-19
Y20-24;20 to 24 years;;Y15-29
Y20;20 years;;Y20-24
Y21;21 years;;Y20-24
Y22;22 years;;Y20-24
Y23;23 years;;Y20-24
Y24;24 years;;Y20-24
Y25-29;25 to 29 years;;Y15-29
Y25;25 years;;Y25-29
Y26;26 years;;Y25-29
Y27;27 years;;Y25-29
Y28;28 years;;Y25-29
Y29;29 years;;Y25-29
Y30-49;30 to 49 years;;TOTAL
Y30-34;30 to 34 years;;Y30-49
Y30;30 years;;Y30-34
Y31;31 years;;Y30-34
Y32;32 years;;Y30-34
Y33;33 years;;Y30-34
Y34;34 years;;Y30-34
Y35-39;35 to 39 years;;Y30-49
Y35;35 years;;Y35-39
Y36;36 years;;Y35-39
Y37;37 years;;Y35-39
Y38;38 years;;Y35-39
Y39;39 years;;Y35-39
Y40-44;40 to 44 years;;Y30-49
Y40;40 years;;Y40-44
Y41;41 years;;Y40-44
Y42;42 years;;Y40-44
Y43;43 years;;Y40-44
Y44;44 years;;Y40-44
Y45-49;45 to 49 years;;Y30-49
Y45;45 years;;Y45-49
Y46;46 years;;Y45-49
Y47;47 years;;Y45-49
Y48;48 years;;Y45-49
Y49;49 years;;Y45-49
Y50-64;50 to 64 years;;TOTAL
Y50-54;50 to 54 years;;Y50-64
Y50;50 years;;Y50-54
Y51;51 years;;Y50-54
Y52;52 years;;Y50-54
Y53;53 years;;Y50-54
Y54;54 years;;Y50-54
Y55-59;55 to 59 years;;Y50-64
Y55;55 years;;Y55-59
Y56;56 years;;Y55-59
Y57;57 years;;Y55-59
Y58;58 years;;Y55-59
Y59;59 years;;Y55-59
Y60-64;60 to 64 years;;Y50-64
Y60;60 years;;Y60-64
Y61;61 years;;Y60-64
Y62;62 years;;Y60-64
Y63;63 years;;Y60-64
Y64;64 years;;Y60-64
Y65-84;65 to 84 years;;TOTAL
Y65-69;65 to 69 years;;Y65-84
Y65;65 years;;Y65-69
Y66;66 years;;Y65-69
Y67;67 years;;Y65-69
Y68;68 years;;Y65-69
Y69;69 years;;Y65-69
Y70-74;70 to 74 years;;Y65-84
Y70;70 years;;Y70-74
Y71;71 years;;Y70-74
Y72;72 years;;Y70-74
Y73;73 years;;Y70-74
Y74;74 years;;Y70-74
Y75-79;75 to 79 years;;Y65-84
Y75;75 years;;Y75-79
Y76;76 years;;Y75-79
Y77;77 years;;Y75-79
Y78;78 years;;Y75-79
Y79;79 years;;Y75-79
Y80-84;80 to 84 years;;Y65-84
Y80;80 years;;Y80-84
Y81;81 years;;Y80-84
Y82;82 years;;Y80-84
Y83;83 years;;Y80-84
Y84;84 years;;Y80-84
Y_GE85;85 years and over;;TOTAL
Y85-89;85 to 89 years;;Y_GE85
Y85;85 years;;Y85-89
Y86;86 years;;Y85-89
Y87;87 years;;Y85-89
Y88;88 years;;Y85-89
Y89;89 years;;Y85-89
Y90-94;90 to 94 years;;Y_GE85
Y90;90 years;;Y90-94
Y91;91 years;;Y90-94
Y92;92 years;;Y90-94
Y93;93 years;;Y90-94
Y94;94 years;;Y90-94
Y95-99;95 to 99 years;;Y_GE85
Y95;95 years;;Y95-99
Y96;96 years;;Y95-99
Y97;97 years;;Y95-99
Y98;98 years;;Y95-99
Y99;99 years;;Y95-99
Y_GE100;100 years and over;;Y_GE85
