ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
581;Total;(Total) Mes;Mes;;0
55920;00;(00) TOTAL;TOTAL;;1
55908;01;(01) Enero;Enero;55920;1
55909;02;(02) Febrero;Febrero;55920;2
55910;03;(03) Marzo;Marzo;55920;3
55911;04;(04) Abril;Abril;55920;4
55912;05;(05) Mayo;Mayo;55920;5
55913;06;(06) Junio;Junio;55920;6
55914;07;(07) Julio;Julio;55920;7
55915;08;(08) Agosto;Agosto;55920;8
55916;09;(09) Septiembre;Septiembre;55920;9
55917;10;(10) Octubre;Octubre;55920;10
55918;11;(11) Noviembre;Noviembre;55920;11
55919;12;(12) Diciembre;Diciembre;55920;12
272161;NP;(NP) No procede;No procede;55920;13
272162;NC;(NC) No Consta;No Consta;55920;14
